Tweet_count,Username,Text,Created At,Retweets,Likes
17,ಕನ್ನಡ ಡೈನಾಸ್ಟಿ,"These #TFI reviewers are making fun of #Martin 

Please look into your 
#Vishwambhara, the cg works can be compared with chintu tv 😂😂
It is cringe, worst......
ನಿಮ್ಮದು ತೊಳೆದುಕೊಳ್ಳಿ!!!
#KFI https://t.co/hhIF5OZwq5",Sat Oct 12 10:25:29 +0000 2024,12,65
18,💛ಹಿಂದೂ ಕನ್ನಡಿಗ❤️,"Kannada ppl celebrating kannada movie's downfall🚶‍♂️🚶
Good Keep it up 👏

Giving ur opinion is considerable 
But trolling is not a good thing.
Some Tel/Tam pages trolling our movie as if they have not given any bad films from their industry.
#Martin #MartinTheMovie 
@DhruvaSarja https://t.co/F5VDiEL1Gs",Fri Oct 11 16:16:25 +0000 2024,47,452
19,Manu K Gowda,"ಈ ಜನಸಾಗರ❤️
This Is Not A Joke
#Martin 
#Dhruva__Sarja https://t.co/CQJRqBPJxT",Fri Oct 11 14:18:52 +0000 2024,29,543
20,jiya_yadav,"Positive vibes all around for #Martin! 🎬 The film delivers action, emotion, and an unforgettable story. Audiences are loving it!🫠

#DhruvaSarja
#MartinTheMovie https://t.co/mVYteHh9nG",Fri Oct 11 17:43:35 +0000 2024,1,8
21,Abhiᵀᵒˣᶦᶜ,"Tamil Film #Vettaiyan Getting 1000+ Shows On Day 1 

Our Own Film #Martin Getting Less Than 200 shows in our Own state .

Who To Blame Film Chamber? Actors? Producers ? Audience? 

Where Our Industry Is Heading All Movies Are Failing In Promotions https://t.co/A3XOMLhpGU",Wed Oct 09 13:33:14 +0000 2024,32,219
22,Nikunj Patel,"जय बजरंगबली  🙏🙏🙏

#MartinOnOct11th 
#Martin https://t.co/9L4WajDulv",Fri Oct 11 06:22:03 +0000 2024,0,26
23,Masala Dose - ಮಸಾಲೆ ದೋಸೆ,"Idu joke thane?? 

#Martin https://t.co/UDcsA0lEcF",Fri Oct 11 11:10:53 +0000 2024,9,160
24,Arsenal FR,"🚨 Selon @SkySportsNews, Martin Odegaard ne souffre d’aucune rechute dans sa rééducation, et son retour est toujours programmé pour courant Novembre ! https://t.co/tHWZu3Voq6",Sat Oct 12 11:57:38 +0000 2024,4,17
25,BFilmy Official,"#Martin Craze in Mumbai 🥵🥵🔥🔥🔥

The excitement is so out of control that Martin is releasing ONLY in Kannada! 💥💥

Finance clearances said, ""No thanks!"" to other languages. Pan-World? More like Pan-Kannada! 

#MartinTheMovie | #MartinReview | #DhruvaSarja https://t.co/DOdXSdjQdP",Fri Oct 11 06:29:51 +0000 2024,34,174
26,Eduardo Hagn,"🚨 JUST IN from @SkySportsNews:

Martin Ødegaard has not suffered a setback and Arsenal are hopeful he can return from his ankle injury in November. 🇳🇴 https://t.co/4Iud7yNYMe",Sat Oct 12 11:52:33 +0000 2024,42,443
27,Carlos Martin Huerta,🚨🚔Choque en Periférico a la altura de Los Héroes https://t.co/AUdHBCOka2,Fri Oct 11 23:05:19 +0000 2024,12,87
28,ཌ⭕ JAIនAN ⭕ཌ,"Booking 🔥 #Martin&gt;&gt;&gt; #Vettaiyan

#Martin not yet open Ap/tg, TN, Kerala  🔥🔥 https://t.co/Tma7jlAkha",Wed Oct 09 04:21:04 +0000 2024,15,25
29,alex 🌟| SIN FINAL 🔺,MARTIN EN @Los40 https://t.co/zUXyqupomg,Tue Oct 08 17:15:45 +0000 2024,0,0
30,ರಾಜಾ ಹುಲಿ,"🙏🙏🙏
#Martin https://t.co/Sr2RjrGrl3",Fri Oct 11 04:36:16 +0000 2024,2,33
31,🏇🏻,"Negative reviewers be careful. You might be kidnapped in Omni and get beaten up😈

#Martin #MartinReview https://t.co/jrkSn4v9Mj",Fri Oct 11 10:18:52 +0000 2024,14,82
32,Sai Dharam Tej,"This festival will be special, with many exciting films coming to theaters

Wishing all the best to the teams of #MaaNannaSuperhero, #Viswam, #Jigra and #Martin. May all of these films become blockbusters. Best wishes to everyone involved!🤗

@isudheerbabu @abhilashkankara https://t.co/e2lw8ri8Uk",Thu Oct 10 15:23:37 +0000 2024,551,6665
33,Cinema Madness 24*7,"#Martin (Kannada) {1/5} - Mastin.

#MartinReview https://t.co/kHyWxD2dtZ",Fri Oct 11 09:31:40 +0000 2024,39,191
34,Movies4u Official,"#MARTIN:

Nenu Early Morning Velthe Show Cancel Ayyindhi, Ma Friend 11AM Show ki Vellaaaadu...

Call Chesi Arthanaadhaalu 😭😂 https://t.co/N0e4hkn00K",Fri Oct 11 08:38:09 +0000 2024,188,2336
35,Prashu🇳🇵🦁👑ᵖᵘˢʰᵖᵃ ²,"Orey😂🤣😭
#Martin https://t.co/fumUyX52Wl",Fri Oct 11 14:33:12 +0000 2024,216,2024
36,Sreenivas Kalyan,ShowTime #Martin https://t.co/a8WcEwztbI,Fri Oct 11 04:45:16 +0000 2024,0,8
37,YabaLeftOnline,JUST IN: Court of Appeal orders Gov Fubara to re-present 2024 Budget to Martin Amaewhule led House of Assembly. https://t.co/gzz7juoMip,Thu Oct 10 14:41:08 +0000 2024,25,192
38,E4 Entertainment,"One day to go!! #MARTIN 
@DhruvaSarja 

In cinemas from October 11th! 

Kerala release by #E4Entertainment 

@E4Emovies @e4echennai https://t.co/fkNtHdPPEo",Thu Oct 10 07:34:44 +0000 2024,1,18
